### params -i512 -r1024 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelf-ht_harris_0 lpd48corelb-ht_java_0 lpd48corelb-ht_optik0_0 lpd48corelb-ht_optik1_0 lpd48corelb-ht_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       22659146     25830212     21580370     25273830     23250917     
2       16786240     13930962     16089362     18330222     16838541     
4       23145408     19514928     21515306     23841520     22842049     
6       28351989     22524519     26669991     29646190     27505468     
8       32455068     25928203     27067930     32183637     27118734     
10      31626678     28304202     33539322     36749006     33252017     
12      31479495     31483461     38916718     38303199     36570908     
14      28261402     37869945     41386403     40107146     43483408     
16      32822567     36342205     40298638     47247079     44677069     
18      45467013     39294439     39118275     39710840     43539082     
20      55224466     39120819     36478511     49970553     45281510     
22      51998162     39749473     47677767     45862942     50141916     
24      47100030     45455231     37618471     46937872     43310058     
26      37641513     45633360     53588230     43739041     49742581     
28      37265135     42560307     36378842     49850779     44624045     
30      39179037     45011235     51176275     28662906     49204124     
32      40532058     48357389     40343183     31462901     35090903     
34      37825167     38836555     35535001     40323268     34360513     
36      34991977     40410909     15569467     18627185     26738400     
38      34091126     1199487      1466915      1506845      1523952      
40      35825540     821885       1147485      1156892      1093401      
42      32974941     746703       987694       968468       1027703      
44      32432967     790350       925855       920628       959826       
46      31207777     739663       851908       861956       881024       
48      30371474     739285       843383       826509       795959       
52      31010829     790241       801969       824036       816821       
56      31375799     719231       765086       749153       808913       
60      31374781     820371       736767       714064       795151       
64      31331369     824568       760670       794322       739689       
