### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpd48corelb-ll_lazy_0 lpd48corelb-ll_copy_0 lpd48corelb-ll_coupling_0 lpd48corelf-ll_harris_opt_0 lpd48corelb-ll_optik_gl_0 lpd48corelb-ll_optik_0 lpd48corelb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       25703        21808        18389        23993        25794        23517        25528        
2       50077        23673        4005         44411        45699        46435        50084        
4       94738        24503        6903         86913        62710        87407        92633        
6       113150       23524        9089         104871       58191        106311       111648       
8       131093       22921        11464        122208       57149        123691       130846       
10      148796       23605        14569        140729       55648        141991       149397       
12      167995       22896        15717        159700       55169        160988       169364       
14      187807       23468        17877        177409       55559        178819       188714       
16      206225       22674        19306        194291       55532        197235       208434       
18      225740       23560        21252        212087       54917        213623       226604       
20      245470       22277        24599        231345       54116        234476       243956       
22      264645       23356        26337        249496       54883        252252       263998       
24      282858       23443        26622        271270       55093        269073       286942       
26      299383       23177        27562        285815       53807        288236       309089       
28      321038       22655        29810        299191       53491        311759       322300       
30      335465       22812        31810        306054       54132        319627       324083       
32      346964       22704        31653        324693       52779        330415       336883       
34      353654       22400        32814        336644       52598        343948       360019       
36      361709       22127        31251        349587       53216        354351       370784       
38      357964       6220         2020         346734       51119        353387       368432       
40      366301       4708         1495         346007       51949        350384       352207       
42      366691       4078         1488         339041       50969        336805       360968       
44      357776       3537         1006         342814       51863        348014       364987       
46      348423       2782         825          343339       49713        345964       365255       
48      339407       2710         706          318428       50609        346816       365260       
52      340938       2566         830          324108       49178        331471       341117       
56      341067       2207         688          327892       50090        342951       334234       
60      350424       1965         726          318047       48926        313426       357288       
64      322511       1922         503          328655       49423        333750       331635       
