### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lf-ht_harris_2 lpdxeon2680lb-ht_java_2 lpdxeon2680lb-ht_optik0_2 lpdxeon2680lb-ht_optik1_2 lpdxeon2680lb-ht_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   
1       17692669     26626014     17759554     21171792     19181416     
2       30752266     38546647     19575896     22939429     32794111     
4       43045214     47433690     40070450     51573194     49455719     
6       82432927     71534894     65730194     89607360     85798844     
8       105260495    110912744    95289186     113558258    107806156    
10      129451690    106792837    119911704    122270098    119627854    
12      129324508    121839358    123791634    137475084    123116147    
14      126607002    120605732    121685350    132679062    109193178    
16      120281343    111788724    120647040    123319886    110651386    
18      113240780    87061948     117303380    121134774    98778676     
20      105242546    76314623     111302802    113286622    89527271     
22      77719927     53341725     104342230    112357768    77563364     
24      71415747     52041078     91811560     106337188    65505452     
26      65957308     44357998     106690273    108336685    57991655     
28      56871966     41244068     100288150    108977876    51866254     
30      46783651     39636596     96802834     104214181    49975576     
32      37976785     38497448     97861848     87310482     47334476     
34      21186360     33897309     96360692     89312766     45044574     
36      22129871     34460496     72143944     75481974     43562964     
38      21831128     33800294     76538220     83397610     41239480     
40      21854280     28129009     52851376     42942618     35510402     
44      21243123     1259636      1528639      1552932      1517921      
48      24068292     998394       1155459      1134805      1195236      
52      21011026     929102       1036882      973283       1040719      
56      21215782     951554       951586       880318       961390       
60      21430066     891562       896416       851490       958881       
