### params -i64 -r128 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdxeon2680lb-ll_lazy_2 lpdxeon2680lb-ll_copy_2 lpdxeon2680lb-ll_coupling_2 lpdxeon2680lf-ll_harris_opt_2 lpdxeon2680lb-ll_optik_gl_2 lpdxeon2680lb-ll_optik_2 lpdxeon2680lb-ll_pugh_2 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       8506114      3265882      2245189      6432339      8353672      7591694      8661014      
2       6163456      3396144      818921       5405614      9248614      7265947      12783896     
4       7672076      2588445      638127       8286416      6359812      9160662      8756527      
6       10653692     2637760      719730       10024868     6894339      10671656     9958566      
8       12233091     2610946      791288       10277721     7206337      10671954     11305986     
10      11250260     2544850      845612       12630576     7731399      11737134     14453314     
12      12937130     2616616      799989       24810280     8345800      13507753     12131448     
14      13352876     2539537      863676       21939048     7923868      14480572     13376670     
16      13535482     2421600      866152       14785488     8879065      17865959     13868824     
18      14017940     2424718      793445       18463949     8853131      18577609     16735612     
20      13644067     2435595      775760       19989739     8781203      18957988     16662344     
22      15132064     2393959      610360       20200327     8964720      21947705     15732774     
24      12937133     2287330      644898       21605040     9174402      22873702     16768478     
26      12782647     2230045      629678       23266469     9431842      24535642     16332068     
28      12291146     2191441      573042       24239134     9603892      26066832     16130506     
30      12238770     2148626      524134       25679130     9802229      27658752     15661892     
32      11942840     2107100      486580       26978660     9915020      28882408     14940573     
34      11799206     1894174      466160       28141953     10018920     30047150     14932838     
36      12158806     1966351      425752       28975774     10169176     31370965     15580588     
38      12222773     2001632      408892       30163832     10178332     32523850     15567096     
40      12222028     1968854      383241       30624492     10302858     33365380     15626472     
44      3406966      9603         119381       13564664     3259724      13308262     3662109      
48      2176432      5972         97487        13818345     3623302      13701825     2465986      
52      1749225      7498         70092        13568886     3943028      13659136     1822169      
56      1430102      11045        51886        13438450     4232438      13568870     1277036      
60      1209906      7863         46620        13484658     4093576      13194282     1261554      
