### params -w0 -i512 -r1024 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       23304193      32111117      23712495      21956519      21073908      
2       16297821      12690660      13769918      15963685      11694124      
4       21525291      17690924      16699126      21415445      15970826      
6       27938244      21943632      20753393      26718527      21084443      
8       33369623      25538929      24192190      30904133      25699934      
10      37674233      29081678      27939579      35807017      30480396      
12      42290815      33461684      31077258      40648214      34786266      
14      46229998      36824166      33218843      45594329      39094967      
16      52361545      40117254      37402894      49481857      43552342      
18      55841103      43531250      41158840      53681908      47237671      
20      58846082      41173200      42695645      57884367      51917100      
22      62826596      42168578      41747470      60681201      55841108      
24      66943655      42129935      47896912      64748340      60243222      
26      70084423      54673896      52391948      69194087      64290266      
28      74171854      57669548      46689267      73037948      67700612      
30      78116974      59580855      56712041      75881350      70443166      
32      78555103      61139234      48635044      79112042      73877126      
34      83618919      62355418      59313005      74277252      75430717      
36      84718296      61584805      61635489      79972841      76509314      
38      83202092      35024586      55740398      73722009      56980359      
40      81314814      24728670      54003805      68877488      45969928      
42      81159383      17997183      53889849      70786523      42577663      
44      79730774      16367581      51526661      67326218      36465989      
46      81241569      14403930      44544231      68573447      32245975      
48      79967204      12324753      49909873      68174833      30593695      
52      76862971      8455772       47832907      65164876      25853291      
56      77852025      8526986       41319569      62257780      22876993      
60      77532818      7615263       44670009      64273162      20020719      
64      77061022      6768919       41662729      61235115      19726193      
68      75009866      5766998       47010959      60112288      17524832      
72      72056107      5018772       38971197      56861440      16037202      
