###,params,-w0,-i65536,-r131072,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,HT_HARRIS,HT_JAVA,HT_OPTIK,HT_OPTIK_GL,HT_PUGH,
#cores,throughput,throughput,throughput,throughput,throughput,
1,2777490,18882100,2961144,2831424,2715721,
2,4821539,12345423,5154396,4951706,4719114,
4,9882717,16580523,9863553,9674564,9239034,
6,14036176,21002234,14478690,14063184,13340895,
8,19113877,25910582,19582713,19138530,17539434,
10,22726109,30784339,23110850,22446410,21928493,
12,27431907,33707299,26094876,26734747,25403857,
14,31596664,37904111,30130437,30700519,28871633,
16,34981288,41497727,33067169,33259864,32667579,
18,38923884,41590396,35529138,37520702,36225632,
20,42411295,48480297,38359398,40130105,40470332,
22,47404844,45770447,41532532,43552776,43359994,
24,50358025,53643737,43468786,46511636,46648764,
26,53449634,55901018,44866919,48561206,49723772,
28,57790950,58978898,46068831,52696246,52906122,
30,59291414,61069035,48911449,54913709,57119743,
32,61357184,61988149,49222417,54808941,61028019,
34,66304974,64326182,45531251,57879870,63902491,
36,67440165,64677757,48190461,56931683,63333938,
38,70436177,25311700,44992112,56519198,60068924,
40,69652982,24457045,47737914,54834897,56707624,
42,68741150,19737192,45351290,54935326,47266849,
44,65943480,16239880,45560838,54339718,42233953,
46,64508230,13716097,46166442,51838411,39373834,
48,67677994,12451011,45344403,51664743,34672001,
52,64573581,9693915,44155944,53006332,27628319,
56,62942987,8275775,41992316,50310646,26854636,
60,64597723,7247214,41099822,47772975,22959803,
64,64065354,6288283,40620250,50018509,23078184,
68,59784314,5971404,42494478,49238052,22361950,
72,59930196,5518036,40903792,48803789,22198873,
