### params -i1024 -r2048 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       LL_LAZY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    
1       549058        160741        450133        551236        491835        549442        
2       925231        30129         815729        817641        871612        928014        
4       1641904       49457         1521055       1062106       1607007       1663994       
6       2267632       67959         2175202       1141406       2274366       2283029       
8       2748293       86926         2766421       1177335       2890022       2850664       
10      3161445       106966        3310996       1198668       3449030       3284739       
12      3649028       124088        3829223       1199767       3956106       3742659       
14      3929915       139823        4342278       1212091       4469504       4117822       
16      4255137       159109        4737536       1204910       4874434       4404419       
18      4489391       182647        5170023       1204656       5260987       4645336       
20      4661919       196544        5500211       1150282       5611709       5048631       
22      4798921       210006        5680913       1160556       5816453       5129507       
24      5026134       226007        6019344       1136985       6133687       5297350       
26      5063412       242703        6169599       1117730       6370473       5458211       
28      5282043       254587        6417563       1090799       6503454       5689513       
30      5298942       262050        6589748       982966        6609242       5597992       
32      5232135       267273        6782843       972638        6800472       5671279       
34      5330076       278715        6839087       930331        6973443       5830040       
36      5274200       272122        6854240       850601        7239184       5833273       
38      4999637       10950         6791024       853423        6942353       5521061       
40      4828139       5049          6804476       834590        6968155       5371907       
42      4592274       3478          6529421       846576        6799769       5034945       
44      4416260       3139          6405195       856537        6791300       4795685       
46      4103898       2126          6229180       897525        6476968       4545804       
48      3810753       2193          6019950       845278        6374919       4457969       
52      3410563       1663          5881934       865591        6204461       4006999       
56      2963213       1442          5718746       805199        5822409       3545647       
60      2637926       1280          5513062       809488        5517946       3255960       
64      2386444       1283          5467181       786048        5351617       3159563       
68      2167469       1148          5407940       736291        5239144       3089065       
72      2048235       857           5069227       714219        5096688       2678832       
