### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       LL_LAZY       LL_COPY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    throughput    
1       18975         31613         6046          18840         19040         17354         18932         
2       33042         20318         5801          27299         33701         29119         36473         
4       65291         19668         7411          61635         49605         60371         65180         
6       84782         20724         9249          83618         51940         81157         90463         
8       119544        20765         8204          116516        59432         116361        119113        
10      132697        21151         9462          123703        57553         118627        128916        
12      156246        21041         10852         157105        60942         156292        161184        
14      199029        15823         11153         190839        61626         182703        203441        
16      203946        14606         11822         214882        62131         201880        206027        
18      231169        13658         12688         219296        61147         219519        210112        
20      238226        13680         13762         249824        65087         255369        250763        
22      270400        13349         14850         270580        65582         248545        259955        
24      260230        13088         16038         240351        62083         283255        285411        
26      312937        12972         17202         306942        60347         275348        307106        
28      304760        12686         18350         296410        63656         307366        326116        
30      317469        12322         19425         295742        62303         328058        354827        
32      343853        11055         20567         366107        58973         287242        385366        
34      386584        8329          21682         353348        56999         327230        392113        
36      387884        5693          22781         312579        54794         366784        387469        
38      361259        4043          23956         381703        58108         373113        346645        
40      381455        3442          25007         318671        52897         345427        394739        
42      375341        2861          26198         427103        50693         373625        454029        
44      375715        2694          27278         406907        48655         394530        425274        
46      442118        2518          28208         428458        46956         370541        428387        
48      480171        2272          28354         414261        46286         424469        457171        
50      445071        2342          1582          428798        44907         421403        415553        
52      394896        2304          739           440347        47412         421974        443138        
54      451467        2230          782           402017        46529         406053        438950        
56      429505        2052          404           415623        47702         416406        423958        
58      426958        1557          282           407682        45341         421381        425505        
60      423272        1803          240           428311        45492         370940        430965        
62      438814        1993          197           403028        45285         395993        444476        
64      398911        1791          152           388753        45866         418927        414407        
66      373625        1613          140           397218        43307         391275        440902        
68      420238        1521          142           295798        44189         398966        407117        
70      419922        1289          109           395268        43363         428033        422981        
72      407564        1534          117           415578        43811         407538        425059        
