### params -i65534 -p40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       Q_MS_LF       Q_MS_LB       Q_MS_H        
#cores  throughput    throughput    throughput    
1       13469314      15269720      15394282      
2       3544434       4057946       3902590       
4       1535833       2242246       2353243       
6       1230162       1542003       1569064       
8       1131505       1214067       1210865       
10      1064487       958749        998763        
12      1039509       851123        838752        
14      926037        706961        712828        
16      856883        610948        617164        
18      736898        551010        561025        
20      633790        504376        498874        
22      561589        457894        459694        
24      481722        422144        426618        
26      434524        390835        391245        
28      380910        365153        366607        
30      323351        343418        338053        
32      304708        319972        316589        
34      284543        298781        299242        
36      262075        275226        271518        
38      271898        258584        254191        
40      266609        238316        237675        
42      266752        226209        223361        
44      269990        212707        206616        
46      255118        203354        198940        
48      267484        192816        189558        
52      266425        175552        173199        
56      281578        165986        160833        
60      277876        150562        147581        
64      283879        130164        138681        
68      274149        126606        124245        
72      300013        123332        119007        
