###,params,-i65534,-p50,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,Q_MS_LF,Q_MS_LB,Q_MS_H,
#cores,throughput,throughput,throughput,
1,13463847,15032263,15406348,
2,3547010,3639686,3421901,
4,1553539,2228305,2200175,
6,1211769,1563774,1584017,
8,1108984,1227931,1201576,
10,1049162,968916,964801,
12,1017920,832069,831993,
14,964631,688511,698827,
16,846982,633062,621550,
18,713545,553652,560376,
20,634462,510320,501680,
22,572536,458380,456628,
24,491723,416422,422738,
26,400765,394969,393415,
28,376280,362699,362632,
30,335146,341985,340745,
32,311257,321610,316096,
34,277669,299012,296551,
36,259565,276093,273057,
38,263232,253645,262561,
40,261896,235175,234911,
42,261141,228282,224329,
44,264335,216742,216333,
46,255547,203853,196341,
48,262885,183773,191401,
52,262457,170426,172839,
56,264933,164407,164800,
60,281233,150139,156543,
64,275171,136180,138031,
68,273378,125990,125291,
72,293918,121440,120123,
