### params -i16384 -r32768 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       SL_FRASER     SL_HERLIHY_LB SL_OPTIK      
#cores  throughput    throughput    throughput    
1       2845172       2897730       2949165       
2       3792623       4436533       4352394       
4       6705087       7784067       7398744       
6       9055532       10517295      10227463      
8       11141544      12979082      12412169      
10      12839707      15486503      14649089      
12      14270220      17644252      16553251      
14      14815797      19447601      18058023      
16      14247756      21053121      19059379      
18      15694989      22554433      20502352      
20      16029006      24116535      21421814      
22      16638380      25374929      22440506      
24      17281764      26466839      23407992      
26      16518065      27776346      24065444      
28      16388951      28182752      24628955      
30      16143946      29352703      24819108      
32      16250537      30127015      24198036      
34      16308808      30404365      21074491      
36      16762882      30007268      21623309      
38      15282323      28415018      19610270      
40      13687191      23785526      18122023      
42      13154139      23762838      16515822      
44      12694084      22135320      15798672      
46      12496136      20914169      14682558      
48      12839011      19610014      14193494      
52      12625896      17926668      12919164      
56      13115832      16176062      12137882      
60      12127132      15358020      11404128      
64      11774333      12896113      10979436      
68      12045821      10873702      10881198      
72      11710871      10638944      10406829      
