###,params,-i65536,-r131072,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,SL_FRASER,SL_HERLIHY_LB,SL_OPTIK,
#cores,throughput,throughput,throughput,
1,2625487,2875174,2949534,
2,3484727,4306846,4401989,
4,6105027,7294843,7634739,
6,8378489,9745192,10160411,
8,10118391,11896778,12611424,
10,11482779,13912256,14380483,
12,12801846,15229786,16144577,
14,13604726,16428674,17408243,
16,14388491,17197923,18325326,
18,15228683,17645078,19186699,
20,15590098,17611032,19563586,
22,15989016,17213217,19901876,
24,16360581,16136434,20030218,
26,16729158,14733010,19574637,
28,16870935,13300350,19203397,
30,17193727,11790103,18416386,
32,17414064,10480708,17523563,
34,17135968,9402798,16306241,
36,16798486,8468312,15387064,
38,16181722,7403154,14282007,
40,15256469,6694834,13569851,
42,14932228,6407747,12659015,
44,14764084,5372089,12167340,
46,14883116,5082412,11362738,
48,15154405,4732216,10715446,
52,15075963,3960157,9727876,
56,14689543,3750402,9022451,
60,14603001,2848149,8978329,
64,14582636,2724341,8059327,
68,14537154,2548333,8067808,
72,14690401,2411105,7757901,
