### params -i65534 -p40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       S_GL          S_TREIBER     
#cores  throughput    throughput    
1       15772776      11794196      
2       5457386       3744385       
4       5246677       1925617       
6       5293884       1600147       
8       5294736       1489748       
10      5518821       1383076       
12      5517425       1274554       
14      5532140       1114085       
16      5578320       1008537       
18      5526221       810517        
20      5554880       683269        
22      5647502       568160        
24      5682103       476136        
26      5579904       421323        
28      5744862       366809        
30      5701097       352043        
32      5156119       325285        
34      5524344       282779        
36      5326588       260673        
38      4462977       274215        
40      3861829       272485        
42      3600623       273482        
44      3479698       269296        
46      3142662       270075        
48      3002609       271893        
52      2666766       269152        
56      2512774       288051        
60      2226918       280495        
64      2162771       293575        
68      1982626       290405        
72      1932295       295928        
