###,params,-i65534,-p50,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,S_GL,S_TREIBER,
#cores,throughput,throughput,
1,15369205,11792322,
2,5466457,3747000,
4,5097251,1861035,
6,5324916,1596688,
8,5269767,1520386,
10,5459752,1368985,
12,5532178,1245076,
14,5558503,1126499,
16,5535855,996413,
18,5528397,847543,
20,5626461,687214,
22,5638225,568586,
24,5707258,506421,
26,5688540,432810,
28,5695776,373531,
30,5470982,338829,
32,5621185,300007,
34,5747450,282501,
36,5535044,264640,
38,4500887,265504,
40,3976699,277529,
42,3790757,276681,
44,3318942,270963,
46,3230150,281791,
48,3142149,265993,
52,2862486,282037,
56,2486783,271032,
60,2276117,279949,
64,2116503,287262,
68,1973248,293976,
72,1838844,308436,
