###,params,-w0,-i512,-r1024,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,HT_HARRIS,HT_JAVA,HT_OPTIK,HT_OPTIK_GL,HT_PUGH,
#cores,throughput,throughput,throughput,throughput,throughput,
1,32937070,45167266,32501569,31773348,31333582,
2,28508089,28913710,24396660,27837478,24154592,
4,55538678,53865340,51212720,57156933,48290182,
6,78875608,73200250,64584066,75760605,68606294,
8,103278365,89063599,84043480,94838837,90706240,
10,122944573,110053786,100343462,122713981,103776553,
12,148415114,115988458,119035305,142822980,123650235,
14,168195364,134172292,132118962,161556978,141090674,
16,186177671,141750422,144198394,178178116,158168389,
18,203110163,152438705,159651622,199614712,170256754,
20,226758188,163173566,171098146,219032132,186918599,
22,242433712,173536307,181468241,227574408,195014545,
24,252086731,180087058,189072253,244216747,202378316,
26,260364270,186486203,196356546,254594668,212663816,
28,273188059,190920127,203924600,263527576,220379428,
30,284104402,197427662,210804124,271701090,225387001,
32,290693044,201395349,217280322,281511563,232669860,
34,299237654,205461516,222872345,289653686,239087957,
36,309759027,211106454,230082772,297159656,245178862,
38,316117938,215604486,234881120,306334718,251086524,
40,324713092,215740720,241324522,310975468,256519970,
44,296831198,87763542,187417151,249746378,111600014,
48,285854346,63251098,180395708,222477774,86950066,
52,277958703,57075984,163599203,194209721,70654919,
56,267242959,51592598,149666146,183297285,62894466,
60,260943734,46057508,149012830,175465075,54416412,
