### params -w2 -i65536 -r131072 -u40 / keep median of reps 4 of dur 2000
# Result from 4 repetitions: median
#       HT_HARRIS     HT_JAVA       HT_OPTIK      HT_OPTIK_GL   HT_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    
1       13232271      27677606      13432386      13071844      13037656      
2       25521188      42326463      17486497      24524643      24830028      
4       38896190      48036236      35463560      37935840      35762274      
6       54888932      71768143      49757828      53257850      50173935      
8       73041083      77610489      65103246      71766657      68499778      
10      89801633      97562612      81213357      82074935      84419342      
12      104251112     114948678     87377700      100049496     94930944      
14      117171367     124852528     97573748      111837330     106379663     
16      129518640     120207046     108963214     126191183     119962867     
18      137588544     100704582     119456015     135048010     127322923     
20      146630340     106991435     124903285     143121667     131058580     
22      151419149     80823430      129933302     155722684     136138805     
24      162861499     49819639      137385391     160054706     137918324     
26      168961046     69921893      140032478     165113956     134375156     
28      174883558     62796204      145199524     171525656     121690021     
30      178461180     53804556      148789214     174219198     106543152     
32      184117192     57376404      153119791     177720450     96710182      
34      184518968     36782298      155993802     184899456     79462980      
36      191461004     34962405      158816748     189890330     71255056      
38      191767556     32734798      162980649     191191974     65956262      
40      200492948     38026916      162143390     193708804     63261023      
44      185343410     24204200      138932298     163484288     53581279      
48      177679560     24772712      134959776     155829155     46226028      
52      173826756     19502103      138145957     151767952     40718404      
56      170045768     20388039      129768462     150667329     39723423      
60      168991416     16927845      127967242     144922588     34714747      
