### params -i64 -r128 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       LL_LAZY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    
1       12792812      3513874       10110080      13482424      12062836      13334856      
2       7473775       1425140       15359518      8000279       10813172      7604499       
4       11062992      863544        15829406      8276129       16174967      11477614      
6       11091830      949761        16592590      6208824       17918737      13110762      
8       13460039      979417        18938746      6144200       18169305      13625190      
10      13658601      841138        20717238      6033075       19818683      14881842      
12      15874282      743048        22359680      6035390       20678033      15876806      
14      16048872      623751        23606759      6084522       22755710      16920006      
16      17003217      555061        24918119      5925220       23524608      18254746      
18      17811462      490566        26281029      5957770       25026778      19294145      
20      18704346      436632        27406353      6039933       26467744      20140441      
22      19358753      439942        28348978      6152542       27636591      21216526      
24      19988318      433755        29008607      6168024       28712686      22142109      
26      20452030      411559        29788865      6185673       29665908      23119805      
28      20892364      408856        30865047      6249061       30813368      24065160      
30      21299507      403320        31298017      6318114       31886564      24874406      
32      21536263      403366        32579707      6174544       32633480      25427396      
34      21777625      386019        32644990      6322428       33377391      26436413      
36      21739328      371929        33578866      6218329       34448913      26995994      
38      21831147      362112        34629363      6365072       35088980      27646001      
40      21693216      354325        35507855      6339856       36109088      28295639      
44      14763956      117960        34763477      5951016       31082109      20540050      
48      10131982      74688         34072045      5875804       29410172      15779648      
52      7286208       54485         33757140      5810491       27430584      10902483      
56      5285146       47389         33927326      5733770       27069622      8832712       
60      3990097       33915         33265386      5651558       25776395      6502158       
