### params -i8192 -r16384 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       LL_LAZY       LL_COPY       LL_COUPLING   LL_HARRIS_OPT LL_OPTIK_GL   LL_OPTIK      LL_PUGH       
#cores  throughput    throughput    throughput    throughput    throughput    throughput    throughput    
1       26346         87489         20525         28728         27904         28336         28182         
2       57214         97388         17738         53372         51094         57082         56434         
4       101799        89582         29194         96348         72649         101460        101350        
6       131946        87286         40278         122888        66608         116630        129576        
8       131137        54609         45823         132254        60535         136418        132486        
10      145296        38674         41244         148872        55293         155241        156280        
12      172138        54170         30971         175283        56409         175926        179749        
14      191582        17906         25123         198730        56579         198358        195048        
16      209637        16590         30446         203616        53520         205988        213497        
18      249993        14320         14775         217396        51940         225842        229106        
20      246685        12986         21915         261833        51545         238611        245524        
22      290206        6900          10142         247604        55350         260980        289912        
24      286556        5974          4296          248742        54801         262198        279735        
26      288587        4898          1990          280244        49294         274179        270886        
28      291360        4008          2114          269002        53944         252099        290109        
30      273708        4188          1261          246958        54434         275019        248976        
32      301920        3562          1177          290990        48068         278202        256001        
34      267350        3232          1522          253804        52513         297262        304337        
36      253878        2734          1045          272320        45821         276197        243789        
38      295101        2544          1413          292930        46587         236604        301340        
40      237377        2658          1080          244454        44094         248213        280627        
42      238918        2387          756           262254        44336         231506        228884        
44      218076        2941          423           218272        42661         220097        217828        
46      220760        2136          456           209392        44213         206760        214896        
48      206324        2554          363           207836        41752         200436        211248        
50      198136        2364          306           195458        41231         219324        213454        
52      227851        1820          232           188400        40574         229744        238923        
54      182104        2060          288           183800        48516         229812        182580        
56      240874        1934          214           235840        55385         231577        202766        
58      203054        1850          192           204178        47265         199610        237764        
60      215802        1582          153           240688        47962         209568        247160        
