### params -i65534 -p40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       Q_MS_LF       Q_MS_LB       Q_MS_H        
#cores  throughput    throughput    throughput    
1       21732048      23342982      22292873      
2       6183087       4495052       8910235       
4       3394170       2928144       2996550       
6       3022468       2230907       2034970       
8       2936202       1555179       1555182       
10      2885054       1289786       1272295       
12      2890764       1074300       1052274       
14      2909385       909796        986282        
16      2881567       852708        835666        
18      2852174       731021        775135        
20      2805350       694274        665514        
22      2783656       628410        622755        
24      2726641       611671        619300        
26      2720251       627878        603323        
28      2665619       611897        608900        
30      2709114       602682        606756        
32      2675306       605020        600057        
34      2580770       600555        614270        
36      2631670       607921        615051        
38      2648466       606894        609078        
40      2608510       608072        608990        
44      2595324       554820        554266        
48      2607151       516251        517719        
52      2667676       457843        459540        
56      2649429       435792        443909        
60      2652476       419430        417484        
