### params -i16384 -r32768 -u40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       SL_FRASER     SL_HERLIHY_LB SL_OPTIK      
#cores  throughput    throughput    throughput    
1       3715416       3787859       3793278       
2       5729989       5943631       5820702       
4       11342191      11565161      11687166      
6       14615922      16258139      15333395      
8       19550915      19389826      19095082      
10      22221242      23244601      23712247      
12      25755075      26592919      26399379      
14      29054744      30722091      29657461      
16      31289946      34087346      33015022      
18      35260734      37775664      36419646      
20      37804188      40133535      38750383      
22      40478608      43596754      43313535      
24      42771379      45498009      44736996      
26      44363764      47536985      47203134      
28      46063258      49148223      49253064      
30      47654650      50371806      50710863      
32      48900592      52206502      51830484      
34      50533421      54704748      53099693      
36      50836247      55908501      55007862      
38      52628429      58168554      56407344      
40      53176460      58272833      57726764      
44      50862150      42558131      50153184      
48      49742081      37107028      47222332      
52      48038046      32885272      43680343      
56      47367481      28745532      40890336      
60      45973042      26049714      38047614      
