###,params,-i16384,-r32768,-u40,/,keep,median,of,reps,7,of,dur,4000
#,Result,from,7,repetitions:,median
#,SL_FRASER,SL_HERLIHY_LB,SL_OPTIK,
#cores,throughput,throughput,throughput,
1,4847749,4930745,4900239,
2,8809992,6991381,9025405,
4,12890336,13248020,13057135,
6,16069551,17793066,16601500,
8,19373978,20341858,19851304,
10,22585223,23824226,23064169,
12,25038450,27498949,26278043,
14,27712626,29127311,28738138,
16,30354156,31254318,31537670,
18,32762408,32350192,33775390,
20,34467614,32617590,36158741,
22,36323712,31084944,37952538,
24,37761018,29065526,39660717,
26,39086800,26869967,41261672,
28,40338182,24011983,42693638,
30,41618361,21765492,44273193,
32,42812184,19485805,45619052,
34,43807363,17840372,47030277,
36,44927362,16161540,48516242,
38,45740667,14834596,49652568,
40,46718991,13736486,50429385,
44,45669610,11078212,39605085,
48,44938490,9276899,34553193,
52,44821586,7927251,29179653,
56,44607035,6562446,26976826,
60,44635361,6016815,23635387,
