### params -i65534 -p40 / keep median of reps 7 of dur 4000
# Result from 7 repetitions: median
#       S_GL          S_TREIBER     
#cores  throughput    throughput    
1       22477392      18737957      
2       10755921      7411317       
4       6059794       5465874       
6       3449492       5351344       
8       2132724       5416761       
10      1567008       5456617       
12      1354948       5552157       
14      1233163       5512432       
16      1056580       5639650       
18      974363        5748105       
20      844720        5699178       
22      801154        5566476       
24      765968        5778165       
26      744803        5579076       
28      733980        5640537       
30      690828        5876545       
32      724104        5847178       
34      718553        5513174       
36      726182        5941099       
38      730618        5498071       
40      723262        5863945       
44      644327        5631178       
48      632372        5712100       
52      532710        5626069       
56      533711        5355619       
60      509361        5187605       
